Kata;Jumlah_Bobot
 taxamnesty;12,33869761
 wajib;11,51375447
 pajak;7,589282335
 uuhpp;6,370096225
 bayar;5,18693577
 rp;3,299146615
 reformasi;3,19402936
 bebas;3,058700108
 rupiah;2,554939787
 adil;2,524023149
 indonesia;2,448675767
 kuat;2,444423347
 umkm;2,312913641
 karbon;2,270491977
 jenius;2,087692427
 ruuhpp;1,983461547
 tuju;1,961365617
 paja;1,932949567
 sentimen;1,846136629
 masyarakat;1,844356815
 nik;1,536588638
 integrasi;1,4456838
 dorong;1,415904076
 ri;1,384305612
 jilid;1,314221545
 hasil;1,264020271
 sistem;1,175863282
 tutup;1,171117386
 data;1,086880653
 negara;1,06759283
 tingkat;1,064922983
 wamenkeu;1,058159167
 maju;1,051288483
 ruuhppuntukmasyarakatkecil;1,041107187
 jilidii;1,040093724
 perintah;0,981921494
 janji;0,981057402
 salah;0,975644981
 biar;0,950976443
 npwp;0,938634251
 hutang;0,934891886
 yudikatif;0,922382097
 mudah;0,900278964
 harta;0,886841456
 patuh;0,882722086
 hindar;0,876625626
 tentu;0,87098517
 pph;0,863495942
 ppn;0,861021677
 cegah;0,809272374
 orang;0,79692933
 duduk;0,758707755
 terap;0,739823315
 yaa;0,705913682
 kena;0,705190476
 sektor;0,701795548
 tarif;0,68130663
 ga;0,672553741
 naik;0,639171952
 rela;0,634227501
 laku;0,62126452
 ubah;0,588990276
 atur;0,574935623
 negeri;0,565296576
 jalan;0,552000338
 raup;0,54239978
 pandemi;0,541473618
 moga;0,52672878
 implementasi;0,526190243
 badan;0,521073191
 nikmat;0,51578209
 rakyat;0,512295303
 urus;0,511849627
 eksekutif;0,501062172
 tugas;0,494888063
 laksana;0,494382452
 administrasi;0,46716815
 legislatif;0,453637623
 potensi;0,452722602
 selamat;0,444151275
 pilih;0,439617825
 program;0,438194545
 imbang;0,434426198
 harap;0,425132873
 investasi;0,422129008
 pimpin;0,408712498
 doang;0,40851146
 sri;0,397946112
 klaim;0,393202434
 pagi;0,364196667
 minimum;0,363830406
 taat;0,354600209
 kerja;0,35406997
 iklim;0,351572086
 gotong;0,341626642
 basis;0,336588722
 wujud;0,331793815
 luas;0,316146601
 sederhana;0,306693841
 xi;0,303557041
 percaya;0,298552626
 sulit;0,294756502
 gegara;0,289247753
 ktp;0,285976785
 proses;0,283923006
 gak;0,276416878
 ngumpetin;0,273776906
 harga;0,272238558
 mulyani;0,271727622
 kpp;0,271516537
 bijak;0,262189048
 infrastruktur;0,260430755
 triliun;0,256735204
 menteri;0,250273539
 dunia;0,240496118
 menkeu;0,234030177
 relevan;0,231378266
 dana;0,22479676
 juta;0,222221483
 properti;0,221045807
 sbn;0,220552677
 diskon;0,213837629
 bruto;0,211690571
 sosialisasi;0,205200122
 bilang;0,20234372
 terima;0,199250155
 rei;0,195984295
 berarap;0,195234532
 layak;0,195129661
 jelata;0,191067531
 tinggal;0,189098488
 positif;0,185841123
 cerdas;0,184789992
 royong;0,183997331
 ayo;0,182470544
 strategi;0,18146129
 genius;0,1760793
 ngga;0,175401875
 khawatir;0,174200154
 turun;0,168712902
 sembunyi;0,167887625
 temen;0,165769259
 buntung;0,164705261
 syarat;0,164085796
 pribadi;0,161208046
 simpan;0,160661354
 rajin;0,159880564
 manfaat;0,157403454
 komisi;0,156543081
 nolak;0,155152034
 tata;0,153866712
 tumbuh;0,152412728
 level;0,152358685
 petinggi;0,152298632
 usaha;0,149775134
 mata;0,148753426
 beban;0,147425275
 dasar;0,14739812
 hubung;0,146956924
 stabilitas;0,146697584
 pakpolnya;0,145693915
 embat;0,145467205
 hpp;0,14210718
 tajir;0,141866055
 gapapa;0,141697327
 opini;0,140469474
 jangka;0,139659166
 kumpul;0,138302589
 eksesif;0,137481396
 termasu;0,134495195
 lemah;0,134095614
 konsumsi;0,129953275
 peran;0,129140362
 as;0,125636441
 gelar;0,124921212
 semangat;0,121876656
 efek;0,121535975
 dolar;0,119870848
 mah;0,118212022
 milik;0,117839884
 ketok;0,117599914
 cita;0,117542075
 incar;0,116760414
 efektif;0,11515347
 utama;0,113892433
 pokok;0,113452543
 pajakberkeadilan;0,111964548
 mitigasi;0,111506225
 ngapain;0,11054298
 jasa;0,10656176
 ekonomi;0,106515212
 untung;0,106429749
 harmonisasi;0,106199545
 pratama;0,105829012
 rantai;0,103468032
 akuntabel;0,102455967
 seram;0,10245013
 pisah;0,102397614
 konsep;0,101851891
 beritaterkini;0,101358429
 uu;0,100321933
 daftar;0,098770409
 bela;0,098623493
 alas;0,097091535
 infustrigula;0,095694793
 sengsara;0,093808718
 skenario;0,092916398
 rendah;0,090899048
 covid;0,089083321
 tegal;0,088810555
 final;0,087211582
 fitra;0,086040519
 bunga;0,085309049
 tuang;0,084797072
 gerak;0,083670439
 reputasi;0,083503226
 pps;0,08277206
 giat;0,082433323
 memperole;0,082258783
 melipatgandakan;0,080385706
 ancam;0,080246174
 lembaga;0,080046577
 skala;0,079389569
 laju;0,078616121
 perekonimian;0,078379578
 dst;0,078107243
 pahlawan;0,077533485
 duit;0,077070827
 kembang;0,074723467
 adilsehat;0,074668917
 melipargandakan;0,074647888
 informasi;0,074618161
 penegasaan;0,074236216
 pengaruh;0,073496888
 kanebo;0,072941998
 dilipatgandakan;0,072068236
 celah;0,07104544
 jumatberkah;0,070354715
 dampak;0,070049713
 baik;0,068679131
 rencana;0,066951711
 gabung;0,066776319
 perata;0,065751583
 bangun;0,064833072
 kemenkeu;0,064675912
 alesan;0,064455391
 iii;0,064255025
 denga;0,064131939
 lupa;0,0637498
 or;0,061968272
 komitmen;0,061857999
 lumayan;0,059305552
 kuasa;0,059231166
 ugalan;0,058876901
 pt;0,058593607
 pihak;0,057820725
 orientasi;0,057694096
 pajakkuatindonesiamaju;0,057596435
 nyata;0,057445738
 cipta;0,056462987
 fakta;0,055434597
 ln;0,05521881
 genjot;0,055134865
 upayapemerintah;0,053965271
 edukasi;0,053116596
 juara;0,052375103
 wni;0,052185301
 uang;0,052149239
 mikro;0,051588182
 cek;0,050834859
 keburu;0,050756022
 suap;0,049873172
 kendali;0,048801063
 islamphobia;0,04846757
 analis;0,048447018
 nomor;0,048224353
 konglo;0,047997329
 kaya;0,047684816
 blok;0,047654676
 menengah;0,047624419
 pemkot;0,047221726
 picu;0,046246548
 pajakperasrakyat;0,04618167
 kanwil;0,045592171
 norma;0,045326577
 elsam;0,044829665
 pajakkitauntukkita;0,044515409
 jenderal;0,044252694
 jokowimembangunnegeri;0,044250783
 amt;0,043644003
 berkat;0,043205159
 jabar;0,042712
 bekas;0,042626598
 mutlak;0,041219974
 solid;0,041056797
 djp;0,04081846
 target;0,040681408
 aset;0,040659349
 udah;0,039972028
 alternatif;0,039625372
 multitarif;0,039540765
 dpr;0,039419743
 sandwich;0,039037438
 kawanpajak;0,038004185
 gold;0,03795679
 tolak;0,037600454
 inflasi;0,037183512
 partai;0,036213573
 diesesuaikan;0,035107632
 tambah;0,034983495
 tangkap;0,034976552
 sehat;0,03497048
 tara;0,034861354
 pres;0,034765946
 wenang;0,034552663
 andal;0,033802976
 bawah;0,033647898
 strategis;0,033589724
 awas;0,033526579
 langkah;0,032922163
 asuransi;0,032762643
 garuda;0,032706037
 batas;0,032061976
 ukm;0,031993605
 cantum;0,031833723
 pasar;0,031755485
 ibrahim;0,031009589
 global;0,030905779
 trfx;0,030611647
 rupiahhariini;0,030489428
 cukai;0,029997966
 indonesiamaju;0,029568839
 tiada;0,029396468
 dapat;0,029269596
 mewah;0,02843913
 didik;0,02838921
 tukar;0,028330984
 tunai;0,02807267
 surat;0,028004449
 pasti;0,027783378
 ta;0,02749473
 edar;0,027210797
 elu;0,026925672
 jelek;0,026784698
 maja;0,026762202
 kenal;0,026491503
 tangan;0,026291349
 medis;0,026128407
 rb;0,025960972
 sidik;0,025857096
 agama;0,025319368
 ulang;0,025250538
 nasional;0,02460738
 nggak;0,02456498
 assuaibi;0,024538553
 induk;0,02419723
 aman;0,023911404
 nilai;0,023884759
 bodoh;0,023329144
 dusta;0,023304666
 paham;0,023299906
 temu;0,022491345
 bersih;0,022386659
 barang;0,021565459
 ptkp;0,021474746
 digital;0,02121058
 dukung;0,021116856
 dagang;0,020983772
 problem;0,020923238
 bahas;0,02078183
 tari;0,020515085
 hap;0,020512228
 oh;0,0204536
 waji;0,019589956
 gaji;0,019235687
 selasa;0,019159309
 sempat;0,017175539
 ringan;0,01716745
 direktur;0,016982517
 akselerasi;0,016967511
 persen;0,016795759
 kursrupiah;0,016493258
 teknologi;0,016282943
 hukum;0,015730128
 agresif;0,015396795
 gagal;0,01531033
 lengkap;0,015108022
 butuh;0,014355718
 ii;0,012858234
 korupsi;0,012551853
 poin;0,012456218
 jual;0,012070957
 posisi;0,012053031
 tax;0,01170235
 jahat;0,011643586
 pon;0,011607279
 sejahtera;0,009582102
 aktivitas;0,009511525
 ridho;0,009255267
 gas;0,008730481
 bawa;0,00814349
 perilaku;0,008060457
 emisi;0,0074758
 s;0,007023285
 i;0,005513079
 kabinet;0,005420177
 sumber;0,005174181
 kait;0,004983872
 budak;0,004127545
 kaca;0,004095908
 daya;0,004078554
 pungut;0,003766757
 ya;0,003489115
 rumah;0,003443874
 b;0,003231604
 u;0,002915619
 garong;0,002666552
 yasonna;0,002546597
 masuk;0,002538485
 asemm;0,002277151
 buta;0,002223607
 layan;0,002152274
 kolega;0,002142828
 publik;0,002111617
 nkri;0,001916004
 pancasila;0,001824569
 dikit;0,001791979
 wakli;0,001675818
 perkara;0,001612617
 uber;0,001559009
 labu;0,001525033
 langsung;0,001521117
 widodo;0,001478552
 mustahil;0,001431655
 ham;0,001392609
 koruptor;0,00137139
 babi;0,001361165
 jargon;0,001248701
 wow;0,001215672
 kelabu;0,001180153
 said;0,001168571
 laoly;0,001156862
 instrumen;0,001112107
 berani;0,001084545
 upeti;0,000956735
 ngegaji;0,000913798
 mahal;0,000880266
 dibebasin;0,000869602
 pasu;0,00085088
 kalo;0,000830111
 iming;0,000775053
 telur;0,000747275
 sukarela;0,000728808
 bong;0,000687164
 bank;0,000684987
 korban;0,00066667
 krupuk;0,000620381
 amnesty;0,000590457
 tol;0,000587138
 darah;0,000553838
 keujanan;0,000553467
 subsidi;0,000506051
 yaahh;0,000497193
 emas;0,000480548
 apah;0,000476574
 serang;0,000475704
 hmmm;0,000462063
 serbi;0,000454136
 ayam;0,000448027
 bicara;0,000440418
 ambil;0,000422778
 dungu;0,000418937
 daging;0,000413194
 a;0,000409795
 ngawur;0,000393403
 x;0,000381277
 dsb;0,000371002
 digedein;0,000360954
 pdip;0,000316367
 diem;0,000304017
 jaman;0,00028988
 receh;0,00026798
 juang;0,000254024
 nelayanpetani;0,000247817
 ngomong;0,000234201
 oraig;0,000227657
 puruk;0,000225461
 kurus;0,000202704
 tu;0,000196206
 islam;0,000195409
 g;0,000187899
 pinter;0,000187842
 tauk;0,00017092
 tetep;0,000165441
 murah;0,000155819
 tetap;0,000143177
 disclosure;0,000142439
 sibuk;0,00013399
 review;0,000113368
 bus;0,00011153
 bodo;0,000107233
 sptnya;0,000105715
 isi;9,65E-05
 sangsi;9,12E-05
 mati;8,24E-05
 mgk;7,43E-05
 tel;5,83E-05
 senang;4,23E-05
 gw;3,62E-05
 funding;1,80E-05
 tsb;1,79E-05
 t;1,34E-05
 patut;5,20E-06
